Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Autenticar usuario,20,389,311,759,"94,26","0,000%",",18692","0,53","0,28","2921,0"
Get company,20,3026,2095,9944,"1675,28","0,000%",",18405","111,88","0,28","622458,0"
Registro de usuario,20,846,708,1082,"89,66","0,000%",",18896","0,25","0,34","1350,7"
GET datos de usuario,20,282,227,491,"60,66","0,000%",",19007","0,84","0,29","4535,8"
Debug Sampler,20,0,0,1,"0,22","0,000%",",19055","0,35","0,00","1902,3"
Activar usuario registrado,20,350,201,450,"50,69","5,000%",",18990","0,38","0,30","2060,9"
GET confirmacion de activacion,20,257,219,343,"41,47","0,000%",",19022","0,55","0,29","2934,0"
Inicio de sesion,20,397,341,496,"43,52","0,000%",",18999","0,76","0,30","4091,2"
TOTAL,160,693,0,9944,"1086,10","0,625%","1,43576","112,56","1,99","80281,7"
